opening,closing
[[[([[([([(([[[(([[([([(,)])])]]))]]]))])])]])]]]
((([([[([(((((((((((,)))))))))))])]])])))
(([([[([[((([[,]])))]])]])]))
[(([[(((,)))]]))]
((([[[[(([([[[(([[[[([[((((([[,]])))))]])]]]]))]]])]))]]]])))
([((([[(([([[([(([[[(,)]]]))])]])]))]])))])
[([([([(((((([[[[[,]]]]]))))))])])])]
[[((([([([([(((((([[[(,)]]]))))))])])])])))]]
([[[[[[[[[(([([[[([([(((([([,])]))))])])]]])]))]]]]]]]]])
[((([([((([[[[([([[[(([[(,)]]))]]])])]]]])))])])))]
(((((([[[([[([[([[((,))]])]])]])]]]))))))
[(([((([[[([(([,]))])]]])))]))]
(([[[[[((((((([[[[(([([([[[[,]]]])])]))]]]])))))))]]]]]))
([([(((([([[[[([([[(([,]))]])])]]]])]))))])])
[[((([[[[[[[[[[[(,)]]]]]]]]]]])))]]
[[([([[(([[([([[,]])])]]))]])])]]
([[[[[[([([([(([((([[[[[([,])]]]]])))]))])])])]]]]]])
[([((([(([([([([(((((,)))))])])])]))])))])]
([[((((([[,]])))))]])
[[[(((([[((,))]]))))]]]
(((([(((((,)))))]))))
([[(([[(([((((([[[[([(((((((,)))))))])]]]])))))]))]]))]])
[[[[((((([(((([[((([[(([(([[([,])]]))]))]])))]]))))])))))]]]]
(([([[([[[([[[([([([[([[,]])]])])])]]])]]])]])]))
([([[[([[[[[,]]]]])]]])])
[[([(((([[[,]]]))))])]]
((([[[([[[[(([[[(,)]]]))]]]])]]])))
((([([[((([[[(([[([[([[(((([,]))))]])]])]]))]]])))]])])))
[[[(((([[[[[((([[[([[([(,)])]])]]])))]]]]]))))]]]
[((((([[[[((([[(([(([[(([(((,)))]))]]))]))]])))]]]])))))]
[[[(((([[[[[[(((([[([,])]]))))]]]]]]))))]]]
((((([[[((([(([((((([([[([([,])])]])])))))]))])))]]])))))
[[[(((([(([(([([(([[[([[(([[[,]]]))]])]]]))])]))]))]))))]]]
[(((((([[[[[((([[((((([(([,]))])))))]])))]]]]]))))))]
(([(([[[[[([([[(([([[[[[([,])]]]]])]))]])])]]]]]))]))
(([([[[([(((((([[((([(,)])))]]))))))])]]])]))
(([[((((,))))]]))
([[((([([[[(,)]]])])))]])
((((([[((((,))))]])))))
[[((([((([(((([((([,])))]))))])))])))]]
[([(([(((([([[((((,))))]])]))))]))])]
[([(((([[(([[[(((([([,])]))))]]]))]]))))])]
[[([([[([[[((([[([([[[([(([([,])]))])]]])])]])))]]])]])])]]
(((((((((([[[([[[[(,)]]]])]]]))))))))))
[([[[(([[[[(,)]]]]))]]])]
[[([[[([([[[[(([[[([[([(([[([[,]])]]))])]])]]]))]]]])])]]])]]
([(([(((([([[,]])]))))]))])
([[[([(((((((([[(,)]]))))))))])]]])
[[(([[[[[(,)]]]]]))]]
[(([[([([([[([[(,)]])]])])])]]))]
[([[[([([[[[[(([[([[((((([,])))))]])]]))]]]]])])]]])]
([([[([[((,))]])]])])
([[([((([((([[[,]]])))])))])]])
[[[(((([[((([[(((([[[,]]]))))]])))]]))))]]]
[(([(([[[([([((([(([[[(([([[[,]]])]))]]]))])))])])]]]))]))]
([((([((([[[(([,]))]]])))])))])
(([[[([[([[[(([[[([[[,]]])]]]))]]])]])]]]))
[([(([(([([[([,])]])]))]))])]
[[[([(([(([([([[([((((([([[[(,)]]])])))))])]])])]))]))])]]]
[[[([([[[([([[(([[(([([(([,]))])]))]]))]])])]]])])]]]
[(([[[(([[[([[[[[[([,])]]]]]])]]]))]]]))]
(([((([(([,]))])))]))
((((([([([([,])])])])))))
([[([(([[([(([([(((([[[[,]]]]))))])]))])]]))])]])
(([([([((([[([[[[[[([[[[((,))]]]])]]]]]])]])))])])]))
[[(([([([[[[[([[,]])]]]]])])]))]]
(([[[((((((,))))))]]]))
(((((((([(((([[([([[([([[[,]]])])]])])]]))))]))))))))
([([[[([[([((([,])))])]])]]])])
(([(([((([(,)])))]))]))
((([[[([([[([[[[[[[([(([[[(,)]]]))])]]]]]]])]])])]]])))
([[[(((([([[[,]]])]))))]]])
([[(((([[([[[[[[[([[([[[[([,])]]]])]])]]]]]]])]]))))]])
[[[[[[[((((([(([[([[((,))]])]]))])))))]]]]]]]
[[([[[[([((([([(,)])])))])]]]])]]
[[[([[[[([[([([[[[([[(([[(,)]]))]])]]]])])]])]]]])]]]
([[[[([(([([[([[(([([[,]])]))]])]])]))])]]]])
((([(([,]))])))
([[[[(([([(((([[([[([(,)])]])]]))))])]))]]]])
(([((([[(,)]])))]))
((([(((((((([([[([,])]])]))))))))])))
[[([((([[[[((((([(((,)))])))))]]]])))])]]
[(([[([[[(([[([[([([(((,)))])])]])]]))]]])]]))]
([(([(((([[((((((([((((,))))])))))))]]))))]))])
[[[([[([[([((([([[([((((,))))])]])])))])]])]])]]]
(([(((([[(,)]]))))]))
([([[(((([,]))))]])])
[(((([(([([[([([[([[,]])]])])]])]))]))))]
[(([[[[[[[([[[[([(([,]))])]]]])]]]]]]]))]
[[([[(([[(((([((([,])))]))))]]))]])]]
(([([(([(((((((([[([([[(,)]])])]]))))))))]))])]))
([[[(((([[(((([(((([([([(([,]))])])]))))]))))]]))))]]])
(([[[([[[[[[[(([[([(([(((,)))]))])]]))]]]]]]])]]]))
((([([([((([[[([[[([((([([(,)])])))])]]])]]])))])])])))
[([[[([([([(((,)))])])])]]])]
[[([[([(((([[(([[((((((,))))))]]))]]))))])]])]]
[(([([(([[([[([(([[[[([[[([[([,])]])]]])]]]]))])]])]]))])]))]
(([[[[((([[[[,]]]])))]]]]))
[[((([[(([([[[((([[([[[([([([[,]])])])]]])]])))]]])]))]])))]]
(([[[[[[[(([[(,)]]))]]]]]]]))
[[[[[(([[[((([[(([[[(([([[((,))]])]))]]]))]])))]]]))]]]]]
[[[[[(([[([(([[([[[,]]])]]))])]]))]]]]]
([[(([[(((([[([([[(([[(((((([[,]]))))))]]))]])])]]))))]]))]])
([((([[((((,))))]])))])
((([([[[([(([[((([,])))]]))])]]])])))
([[([[[(((([[[(((([(([,]))]))))]]]))))]]])]])
(([([[[[([[([([[[[[[[[[((([,])))]]]]]]]]])])]])]]]])]))
([(([[[[[[,]]]]]]))])
[([[[([[(([(([([[[[((([[((,))]])))]]]])]))]))]])]]])]
[[[[([([[[([[(([([[[(,)]]])]))]])]]])])]]]]
[(([[([[[(((((([,]))))))]]])]]))]
[(([[([[([[([(([,]))])]])]])]]))]
([[(([[[[[([[[[[(([(,)]))]]]]])]]]]]))]])
(([[((([[((([(([((([[(((,)))]])))]))])))]])))]]))
(([[(([(([[[[,]]]]))]))]]))
([[[([(([[(([[(([[,]]))]]))]]))])]]])
(((([[((((([((,))])))))]]))))
([[([[[(([[[[,]]]]))]]])]])
(((([[[[[[([[([[[[([[[([(,)])]]])]]]])]])]]]]]]))))
[[[((((([(,)])))))]]]
[[[[[(([[(([(((([[(,)]]))))]))]]))]]]]]
(([[([[(((([[[(([[[[([[[,]]])]]]]))]]]))))]])]]))
[[[([(([[(([([[((([[[,]]])))]])]))]]))])]]]
([[[(([([(((([([[[([[[([[[[,]]]])]]])]]])]))))])]))]]])
([([[[(([([[[(([[[[[[(([(((([,]))))]))]]]]]]))]]])]))]]])])
[[(((((((([,]))))))))]]
([([[[[([([[[((([[(([([[(([,]))]])]))]])))]]])])]]]])])
(((((((([([[((((([((,))])))))]])]))))))))
[(((([[[((([([[(([([([(,)])])]))]])])))]]]))))]
[[(([(([((((([[[([[(([[([[,]])]]))]])]]])))))]))]))]]
([([([((((([[[([[(([([[(([((,))]))]])]))]])]]])))))])])])
[([([[[[[[((([([[((([(,)])))]])])))]]]]]])])]
[(([([([[(([[[[[([,])]]]]]))]])])]))]
[[[(([[(([[((([([[([((((,))))])]])])))]]))]]))]]]
[[[[(((([[(([(,)]))]]))))]]]]
[(((((((([((((([[([((((([,])))))])]])))))]))))))))]
[[((([(([([[[(([,]))]]])]))])))]]
[[[([[(([[[[[((((([(([[[(([(,)]))]]]))])))))]]]]]))]])]]]
([([(([[(([[[((([[([[[[[([(([,]))])]]]]])]])))]]]))]]))])])
[(([(([(([([(,)])]))]))]))]
((([((([(((([([[([,])]])]))))])))])))
([(((([[[[[(([([[([[[[,]]]])]])]))]]]]]))))])
[(([(([[[[([[[[([([(([[[,]]]))])])]]]])]]]]))]))]
([[[(([([([([[[([[[[([[[([[[[,]]]])]]])]]]])]]])])])]))]]])
[[([[([[([[([[([[[((((,))))]]])]])]])]])]])]]
[([([([(((([(([[[(([((,))]))]]]))]))))])])])]
(([[(([([[,]])]))]]))
[([(([[(([((([,])))]))]]))])]
[[(((([[([[[([(((((([(([[[([[(,)]])]]]))]))))))])]]])]]))))]]
[([(([[[[[[([((((,))))])]]]]]]))])]
(([[[[(,)]]]]))
[([([([((((([[[([([,])])]]])))))])])])]
(([[[([[([[[((((([([((((,))))])])))))]]])]])]]]))
(([[[[[[([([[(([((,))]))]])])]]]]]]))
([[(([[(([([[[((([(((,)))])))]]])]))]]))]])
([[([[([([([(([[([[([([[,]])])]])]]))])])])]])]])
[[[((([(([[[[[[,]]]]]]))])))]]]
([([[((([(([(,)]))])))]])])
([(([[[[[(((([([[,]])]))))]]]]]))])
[[[([[[[[[(([((((([([(,)])])))))]))]]]]]])]]]
[([([[[[(((((([[[(,)]]]))))))]]]])])]
[[[((([[((([(([[[([(((,)))])]]]))])))]])))]]]
(([((([((([([,])])))])))]))
([[([[((([((([[[,]]])))])))]])]])
[[[([[[([[(([[([(([[[,]]]))])]]))]])]]])]]]
(([[[[[[([[((([[((([[,]])))]])))]])]]]]]]))
([([[[(((([[[[(((,)))]]]]))))]]])])
[(((([[[[(([[[([(,)])]]]))]]]]))))]
[[((([[([(([[(((([(([((([(((,)))])))]))]))))]]))])]])))]]
([([[[[([[[([(([((([(((((,)))))])))]))])]]])]]]])])
[[[[([[([(((([(((([([([([[[,]]])])])]))))]))))])]])]]]]
[[([([[([((((([([[[[(([[[(,)]]]))]]]])])))))])]])])]]
[[[[((([([((((([([[[,]]])])))))])])))]]]]
[[[([[[[([[[([,])]]])]]]])]]]
([[([(([(([(((([[[((([[(((((((,)))))))]])))]]]))))]))]))])]])
[([([([[(([([(([(([(([[[(((([(,)]))))]]]))]))]))])]))]])])])]
(([[([[(([(([(([(([([(,)])]))]))]))]))]])]]))
[[([[[([(([[([[((,))]])]]))])]]])]]
[[[[[([(([[([[(((((((([[[((,))]]]))))))))]])]]))])]]]]]
([([[[([[([([(([[(([[[[(([[,]]))]]]]))]]))])])]])]]])])
([([([(([(,)]))])])])
(([((([((([([[([([(([((([,])))]))])])]])])))])))]))
([(([[([([(,)])])]]))])
[(((((([([(([([(([[([[[([[(,)]])]]])]]))])]))])]))))))]
[[[(((([([((([[(([[[((((([(((,)))])))))]]]))]])))])]))))]]]
(([(([(((((([([[,]])]))))))]))]))
(([[[(([[[((,))]]]))]]]))
[[([([((([([[([[[[([,])]]]])]])])))])])]]
(((([[[[[[([[([([([([[[,]]])])])])]])]]]]]]))))
([([(((([[([[(,)]])]]))))])])
[[[(([(([((((([[[[((([[((,))]])))]]]])))))]))]))]]]
[([[[((((,))))]]])]
([[((([([[[(((([(([,]))]))))]]])])))]])
([((([(([[[(((([([([[,]])])]))))]]]))])))])
(([[[[[([[([(([[,]]))])]])]]]]]))
[([[(((([[([[[[([[[(([((,))]))]]])]]]])]]))))]])]
[(((([([([([([[[(([([,])]))]]])])])])]))))]
([(([((([(([([(([([(([,]))])]))])]))])))]))])
((([([(((([([[[[(,)]]]])]))))])])))
[([((([([[[((([[(([([[((((,))))]])]))]])))]]])])))])]
[[((([([([[[([[([(([(([(,)]))]))])]])]]])])])))]]
((([((([[(([[[((([((,))])))]]]))]])))])))
(([([([([[[[(([[([[[[([[[([[(,)]])]]])]]]])]]))]]]])])])]))
[[[[([[((((([[([[[[(([,]))]]]])]])))))]])]]]]
[[(((([(([[[[([(([(([[[[,]]]]))]))])]]]]))]))))]]
[[[[((([,])))]]]]
([((([[(,)]])))])
[((((((((([[[[([([[[(([[([,])]]))]]])])]]]])))))))))]
[[[[[[[[[[[[(([[(,)]]))]]]]]]]]]]]]
[([[((([([(([((,))]))])])))]])]
([[([(([((([(((([([[(,)]])]))))])))]))])]])
([([((((((((([[(([([,])]))]])))))))))])])
[([[([[([([[[[,]]]])])]])]])]
[[([([[([[([(,)])]])]])])]]
[[(((([[[[(([[[,]]]))]]]]))))]]
[((((([[[[[[[(([[(,)]]))]]]]]]])))))]
([(([[[[([[[(((([[[[([(([[,]]))])]]]]))))]]])]]]]))])
[[(([([[(((([(([((([([[[,]]])])))]))]))))]])]))]]
[[[([[[([[([([(([,]))])])]])]]])]]]
[[([(((([[[[[([,])]]]]]))))])]]
[([[([[[[[((([(([((([([(([[(,)]]))])])))]))])))]]]]])]])]
[[[[[([[((([(([([([,])])]))])))]])]]]]]
[(([[[(([(,)]))]]]))]
[([[[[((([([[[(([[([([[,]])])]]))]]])])))]]]])]
([(((((([[[[([((([[[([[[[(,)]]]])]]])))])]]]]))))))])
[(([((([[[([(([(([(((([([[(,)]])]))))]))]))])]]])))]))]
[((([[([([[,]])])]])))]
[([[[[[[(([[[[([[((([,])))]])]]]]))]]]]]])]
([(([([[[[[([[[[[[([([,])])]]]]]])]]]]])]))])
[[[[[[[[(([([((((,))))])]))]]]]]]]]
[(([((((((([[[([([[,]])])]]])))))))]))]
([[[([[(([[[(((((([([((([(([[(,)]]))])))])]))))))]]]))]])]]])
[[(([[([[,]])]]))]]
[([[[[([[([[([[[(((([[(((((,)))))]]))))]]])]])]])]]]])]
([[((([(([(([[([((([[[(([,]))]]])))])]]))]))])))]])
[[(([[((((([[[(([[([[[[(((([[(,)]]))))]]]])]]))]]])))))]]))]]
(([[(([[((,))]]))]]))
[[[(([(([([[((([([([((([(((([,]))))])))])])])))]])]))]))]]]
[[[[((([[([[((([((((((([[(,)]])))))))])))]])]])))]]]]
[[[((([[[(((([[[[[(((([[(,)]]))))]]]]]))))]]])))]]]
[[[[([[[[([(([[(([((((([,])))))]))]]))])]]]])]]]]
[[(([(([[[[([((([(,)])))])]]]]))]))]]
([[[((([[[([[[[(,)]]]])]]])))]]])
([([[[[(,)]]]])])
[([[[[((((((([(([[[(([(,)]))]]]))])))))))]]]])]
[([[(([[[,]]]))]])]
[[((([([[([[[[([((([([((,))])])))])]]]])]])])))]]
(((([(((([(((([((([[((([[[(([,]))]]])))]])))]))))]))))]))))
(([((([[[(([[[[(,)]]]]))]]])))]))
[((([[([[(([[,]]))]])]])))]
([[(((([([[([[[[[[[([[[,]]])]]]]]]])]])]))))]])
(((([[[[,]]]]))))
[((((([([[[((([([[([([[(([[,]]))]])])]])])))]]])])))))]
([[(((((([([[([,])]])]))))))]])
([[[([(([([([(((((,)))))])])]))])]]])
[[([([[[[[[([((([((([[(([[(,)]]))]])))])))])]]]]]])])]]
([([[(([[[[[[(((,)))]]]]]]))]])])
[[[([(([(([([[([(,)])]])]))]))])]]]
[[([([(([[(([(,)]))]]))])])]]
(((([((([([([((([[[[[[[(,)]]]]]]])))])])])))]))))
[[[[(([([((([([([[([[([[[(((,)))]]])]])]])])])))])]))]]]]
([[[([(([((((([[[(([[(([[,]]))]]))]]])))))]))])]]])
[(((([([[([(((((((((,)))))))))])]])]))))]
[((([([[([((([([((((((([,])))))))])])))])]])])))]
(([[(([[(((([[(([([((([([([[,]])])])))])]))]]))))]]))]]))
[[[[[[[([[[(,)]]])]]]]]]]
(((((((([([[[,]]])]))))))))
(((([([(([[[([[(,)]])]]]))])]))))
[(((([((([[((((,))))]])))]))))]
[([[([[([([[([[([[[([([((,))])])]]])]])]])])]])]])]
([(((([(([[[([(([(([([[((,))]])]))]))])]]]))]))))])
([([[[([[[[((((([[[([([(,)])])]]])))))]]]])]]])])
([[[([[(([(([[[((([[,]])))]]]))]))]])]]])
[(([([[[[[[(([[[[[[[[[(,)]]]]]]]]]))]]]]]])]))]
((([[[[[([((([,])))])]]]]])))
([([[[([(([([[([[(((((([[[([(,)])]]]))))))]])]])]))])]]])])
(([(([(((([([[[[[([((([([([[[(,)]]])])])))])]]]]])]))))]))]))
[[([(((([(([([([([(([[,]]))])])])]))]))))])]]
[((([([[[[((((([([(([((([[[([[,]])]]])))]))])])))))]]]])])))]
([([([[[[([[[([([([[[[,]]]])])])]]])]]]])])])
([[[[[[[[[(([,]))]]]]]]]]])
([((([[[([([([[([([(([(((,)))]))])])]])])])]]])))])
((([((([,])))])))
[(([[((([([([[[([[(((((([((,))]))))))]])]]])])])))]]))]
[[[[([[[([[(([(,)]))]])]]])]]]]
[([[[[[[[[[([[[[[[[((([,])))]]]]]]])]]]]]]]]])]
([(([((((([,])))))]))])
[((([[[([[([,])]])]]])))]
[([[(([[[[[[[,]]]]]]]))]])]
(([([([([[(([([((((([,])))))])]))]])])])]))
([[[[([[(([[([[[[((,))]]]])]]))]])]]]])
(([((([((([([([([([(((([[([((,))])]]))))])])])])])))])))]))
([[([((([[[([(([,]))])]]])))])]])
[[[[(([[(([[[(((([[[((,))]]]))))]]]))]]))]]]]
[(([[([[((([((((((([,])))))))])))]])]]))]
([([[([[[[(,)]]]])]])])
([[((([([[(((((([((,))]))))))]])])))]])
[[[([(([[[(([([,])]))]]]))])]]]
[([[((([(,)])))]])]
[([(((([[[(([([[[([[[(,)]]])]]])]))]]]))))])]
[[[([[[((([([[([([[(([([[([(([,]))])]])]))]])])]])])))]]])]]]
[([[(((((([[[[((([[[([[[((,))]]])]]])))]]]]))))))]])]
(([[[([[([[((([[([(,)])]])))]])]])]]]))
[((([[[([[([[([([,])])]])]])]]])))]
[[(((([[[[[([[[[[[[(,)]]]]]]])]]]]]))))]]
((([[([([((((([[([(([((([,])))]))])]])))))])])]])))
(([[[((([[[[(([(([([[([[([(,)])]])]])]))]))]]]])))]]]))
([([(([[[[[([((((([[(([[(((,)))]]))]])))))])]]]]]))])])
[([([([([[[([((,))])]]])])])])]
([[([[[(((,)))]]])]])
[[[[((([(([([(([[(,)]]))])]))])))]]]]
((([[[(([[[((((((((([((([([[[,]]])])))])))))))))]]]))]]])))
[[[[(((((([[(([[([(,)])]]))]]))))))]]]]
([[((([[((((,))))]])))]])
[[(((([[[[([([[[([((([[(,)]])))])]]])])]]]]))))]]
[(((([[[([,])]]]))))]
([(([[([([([[[(([([[[([([(,)])])]]])]))]]])])])]]))])
[[((((([[((((((([[([[,]])]])))))))]])))))]]
[[([([([([[([,])]])])])])]]
[[(([([([[([(([[(([[(([([,])]))]]))]]))])]])])]))]]
([[[[[([([[,]])])]]]]])
[([([[[,]]])])]
(([[([([([([((([[((((([([(,)])])))))]])))])])])])]]))
[[(([[[[((((([[([[[((((,))))]]])]])))))]]]]))]]
[([([[[(([(([[([[([((,))])]])]]))]))]]])])]
[[([[([((([[[([[(([[(,)]]))]])]]])))])]])]]
[[[[(((([([[([(([[,]]))])]])]))))]]]]
([[[[[([[[[[((([[[([[((([(,)])))]])]]])))]]]]])]]]]])
[((([([(([((([(([[(([[,]]))]]))])))]))])])))]
([[(([[([(((([[[([[[,]]])]]]))))])]]))]])
(([([([([([[([([([([[[[[(((([,]))))]]]]])])])])]])])])])]))
[((([[[[[((([(([([[(((,)))]])]))])))]]]]])))]
[((([[[([[([([([[([([([([(([(,)]))])])])])]])])])]])]]])))]
[[([[[([[[(([((([([(((([((([,])))]))))])])))]))]]])]]])]]
([(([([[[((([[((([[((([(([([[,]])]))])))]])))]])))]]])]))])
(([[[((([((([(([[((([[,]])))]]))])))])))]]]))
([[[[[([(,)])]]]]])
(((([([(([(((([(([([(((((([([[,]])]))))))])]))]))))]))])]))))
([(([[[((([[,]])))]]]))])
[[(([([([([[[(([[([[([([,])])]])]]))]]])])])]))]]
((((([([(([((([([(,)])])))]))])])))))
[([(([[([((([[((([[,]])))]])))])]]))])]
[([([[[(([([(([[([,])]]))])]))]]])])]
([((([[[(([[[,]]]))]]])))])
[([([(((((([[([[[(((([([[([[,]])]])]))))]]])]]))))))])])]
([[[[[[[(([([[(,)]])]))]]]]]]])
[(((([[[([([[[[[,]]]]])])]]]))))]
([[[([[[([([[(([[([([((,))])])]]))]])])]]])]]])
(([[([([(((([([(([([[(([,]))]])]))])]))))])])]]))
[[((([[[[([[([([(([,]))])])]])]]]])))]]
[([[[([[([((([([([[,]])])])))])]])]]])]
(((([([(((([([([,])])]))))])]))))
[[[[([((([(([([([(([(([[(([([,])]))]]))]))])])]))])))])]]]]
[[[((([([([(,)])])])))]]]
([[[[[[[[[([(([[([([[[,]]])])]]))])]]]]]]]]])
[(([[([[[(([(([((,))]))]))]]])]]))]
((([([([[[[[(([[((([[[(((,)))]]])))]]))]]]]])])])))
[(((([[([(((([,]))))])]]))))]
[([((((([([[[[([([[([[[[([(([,]))])]]]])]])])]]]])])))))])]
([([[([[[([[[[[[[((([[(,)]])))]]]]]]])]]])]])])
[[[[[((([([[([[[[[((((([(([,]))])))))]]]]])]])])))]]]]]
[((((([([(([[[,]]]))])])))))]
([[[[[([,])]]]]])
([[((([[([[[[[(([([[([[[((([(,)])))]]])]])]))]]]]])]])))]])
([([((([[([[([((([([(,)])])))])]])]])))])])
[[[[((([[((((([[[,]]])))))]])))]]]]
[([([([[[[(([([((,))])]))]]]])])])]
([([([([,])])])])
[[([[[(([[([([,])])]]))]]])]]
[([(((([[[,]]]))))])]
[[[[(([(,)]))]]]]
(((((([(([[[[([((((([(((,)))])))))])]]]]))]))))))
((((((((([(([(([(,)]))]))])))))))))
([[[([([(([[[([[([[[(([,]))]]])]])]]]))])])]]])
(([[([([([,])])])]]))
([(([((((([[(,)]])))))]))])
(([(([[([[[[(((([([[((,))]])]))))]]]])]]))]))
(((([[((([[,]])))]]))))
([(((([[([[[[[[[[,]]]]]]]])]]))))])
[(([[([[[(([([[[[(([[[[([([,])])]]]]))]]]])]))]]])]]))]
([[[(([((((([([([[[([(((,)))])]]])])])))))]))]]])
((([(((,)))])))
([([[(([([[,]])]))]])])
[[([((([((,))])))])]]
[[([[([([(([[([([(([([((([,])))])]))])])]]))])])]])]]
[[[[[([([[([([((([[(((([[(,)]]))))]])))])])]])])]]]]]
([([(((([(([[(([[[([,])]]]))]]))]))))])])
[([(([(([([[([[([,])]])]])]))]))])]
[([[[([(((([,]))))])]]])]
[([[(([[[[[((,))]]]]]))]])]
[[[[(([[[([(((([[(((([[,]]))))]]))))])]]]))]]]]
([[[([(([[([[,]])]]))])]]])
((((([[((([([[,]])])))]])))))
(([[(([[([[[,]]])]]))]]))
[[([[([((((((([[(([[[[[,]]]]]))]])))))))])]])]]
(([(([((([[[[((([(([([[((,))]])]))])))]]]])))]))]))
([[((((((([(,)])))))))]])
(([[[[[[[[,]]]]]]]]))
[(([[(([[[[[[[[(,)]]]]]]]]))]]))]
[(([[([[[[[([[([[[(((((([([(,)])]))))))]]])]])]]]]])]]))]
(([[([([(([((([[([(([[[[,]]]]))])]])))]))])])]]))
((([[([[[[([[[[[[([((([[[([(,)])]]])))])]]]]]])]]]])]])))
([[[([(([([,])]))])]]])
[[[[[[([([[[([[([,])]])]]])])]]]]]]
[([(((([,]))))])]
([[[[(([([((([[,]])))])]))]]]])
([[[([([(((,)))])])]]])
((([[(([([[[((,))]]])]))]])))
[(([[([[[((([[([,])]])))]]])]]))]
(([[[[[((([((([[([(([,]))])]])))])))]]]]]))
(([(([([[[[([[[[[,]]]]])]]]])]))]))
[([[[((([([([((([(([,]))])))])])])))]]])]
[[(([([[(((([[[,]]]))))]])]))]]
([([(([[[(([(((((([((([((([[[[,]]]])))])))]))))))]))]]]))])])
[[[[([[([([[(((([([(([[([[,]])]]))])]))))]])])]])]]]]
[([[[([[[([[([[[[[[([([([[[([[,]])]]])])])]]]]]])]])]]])]]])]
[[([([[[[([[[[[(((([,]))))]]]]])]]]])])]]
(((([([[([(((([[[(([([[[[([(,)])]]]])]))]]]))))])]])]))))
[((([[([((((,))))])]])))]
((([[(([[([[[[[((((((([,])))))))]]]]])]]))]])))
([[[[[[[[[(([[(((([([([[[([[(,)]])]]])])]))))]]))]]]]]]]]])
[((([([[[,]]])])))]
([[(((([[([([[[((([[,]])))]]])])]]))))]])
[(([[(([[(([([[[[[[(,)]]]]]])]))]]))]]))]
[[[([[([[[,]]])]])]]]
[(([[[[(([[([[[([[([[[[([[(([[,]]))]])]]]])]])]]])]]))]]]]))]
(([((([[[[([([([[(([(((,)))]))]])])])]]]])))]))
(([([([(((([[,]]))))])])]))
([[([((((([([([(([([,])]))])])])))))])]])
([[([([([([[[[((((,))))]]]])])])])]])
([(([[([[(((([[([((((((((((((,))))))))))))])]]))))]])]]))])
(([(([((((([[(,)]])))))]))]))
([[[([([[[,]]])])]]])
[[([[[(([[(([((([([([([([((((,))))])])])])])))]))]]))]]])]]
[([[([([[[[,]]]])])]])]
(([([((([[([[([(([([(([((([(,)])))]))])]))])]])]])))])]))
[[[[(([((([[(,)]])))]))]]]]
([(([(([[([([[[[[,]]]]])])]]))]))])
(([([((([[([[((([[(([,]))]])))]])]])))])]))
[([(((([[(,)]]))))])]
([(([([([,])])]))])
(((([([[([[((([[[[([(((([[[[(,)]]]]))))])]]]])))]])]])]))))
([[(([((([[[[[,]]]]])))]))]])
[[[[[(((,)))]]]]]
(([[(([([[(((([([(,)])]))))]])]))]]))
([[[([(((([[([([[,]])])]]))))])]]])
[[[(([([([([([([[([[((([[,]])))]])]])])])])])]))]]]
[([[[[([(([([((([,])))])]))])]]]])]
[(([(([([((((([,])))))])]))]))]
([[[[[[(([[[[(,)]]]]))]]]]]])
[[[[((([[[([[(([[,]]))]])]]])))]]]]
[([[[[([([[[(([[(([([(([[[[[(,)]]]]]))])]))]]))]]])])]]]])]
(([[[[[([([[[[[((,))]]]]])])]]]]]))
[[[[[[([[([(((,)))])]])]]]]]]
(([(([[[[((([(([[([(((,)))])]]))])))]]]]))]))
[[(([([([[([([[([[(([([,])]))]])]])])]])])]))]]
[[[[((([((,))])))]]]]
([[[[(([[([([[(([[[[[[[,]]]]]]]))]])])]]))]]]])
[[[[[[[(((([((([[,]])))]))))]]]]]]]
[(([[((([[([[([[((([(([[((((,))))]]))])))]])]])]])))]]))]
[[[([([([[[(([[,]]))]]])])])]]]
([[(([([[[[[[[(([[(([,]))]]))]]]]]]])]))]])
[([((([[(([(,)]))]])))])]
([((([(([[((([([[[([([([[[[,]]]])])])]]])])))]]))])))])
[((([[[[([[[([[[([([([([[((,))]])])])])]]])]]])]]]])))]
([([[[[([([([[,]])])])]]]])])
[[(([(([[(([(([(,)]))]))]]))]))]]
([((([[([[(([([([[[[([[(([(,)]))]])]]]])])]))]])]])))])
([[[[[[(([([([[((([[[((,))]]])))]])])]))]]]]]])
([([[((([([[(,)]])])))]])])
[[([((((((([[,]])))))))])]]
([([(([([[((((([[[[([[([,])]])]]]])))))]])]))])])
[(([(([[(((([([[[([([[(([[,]]))]])])]]])]))))]]))]))]
([[[((((([[([[([[[(([[[[[[((((,))))]]]]]]))]]])]])]])))))]]])
[[[[[([([[[,]]])])]]]]]
[((([[[(((((([[[[[(,)]]]]]))))))]]])))]
[[[[[([([(([[[((((([[(([((,))]))]])))))]]]))])])]]]]]
(([[([(([(((((([[[[((([[(([[[,]]]))]])))]]]]))))))]))])]]))
[(([((([(([[[[[[([(([((((,))))]))])]]]]]]))])))]))]
[([([[[([(((([[([[[(((([[([(((,)))])]]))))]]])]]))))])]]])])]
[[[([[([[((((((((,))))))))]])]])]]]
[[(([[([([[(([([[[,]]])]))]])])]]))]]
(((([[([([(((([[[((([,])))]]]))))])])]]))))
[[[[[[[(([((,))]))]]]]]]]
[(((([([(([[[([((([([[[([(,)])]]])])))])]]]))])]))))]
[([([((([[([[[[[([[[[((((,))))]]]])]]]]])]])))])])]
